"STATION,""DATE"",""TAVG"",""TMAX"",""TMIN"""
"RSM00026063,""2023-01-01"",""1.6"",,"
"RSM00026063,""2023-01-02"",""-1.5"",""0.4"","
"RSM00026063,""2023-01-03"",""-2.1"",,"
"RSM00026063,""2023-01-04"",""-5.5"",,"
"RSM00026063,""2023-01-05"",""-12.4"",""-8.3"","
"RSM00026063,""2023-01-06"",""-10.3"",""-6.5"","
"RSM00026063,""2023-01-07"",""-11.6"",,"
"RSM00026063,""2023-01-08"",""-16.3"",""-12.4"","
"RSM00026063,""2023-01-09"",""-10.1"",,""-13.1"""
"RSM00026063,""2023-01-10"",""-6.3"",,"
"RSM00026063,""2023-01-11"",""-2.5"",,""-4.1"""
"RSM00026063,""2023-01-12"",""-3.6"",,""-4.2"""
"RSM00026063,""2023-01-13"",""0.6"",""2.8"",""-3.5"""
"RSM00026063,""2023-01-14"",""1.8"",,"
"RSM00026063,""2023-01-15"",""2.2"",,"
"RSM00026063,""2023-01-16"",""2.1"",""3.4"","
"RSM00026063,""2023-01-17"",""0.8"",,"
"RSM00026063,""2023-01-18"",""1.6"",""3.0"",""0.2"""
"RSM00026063,""2023-01-19"",""2.0"",""5.0"",""0.5"""
"RSM00026063,""2023-01-20"",""0.6"",,"
"RSM00026063,""2023-01-21"",""-3.4"",""-0.2"","
"RSM00026063,""2023-01-22"",""-3.5"",""-2.7"",""-5.2"""
"RSM00026063,""2023-01-23"",""-4.7"",""-3.9"","
"RSM00026063,""2023-01-24"",""-1.9"",,""-6.9"""
"RSM00026063,""2023-01-25"",""1.1"",,""-0.5"""
"RSM00026063,""2023-01-26"",""2.1"",,"
"RSM00026063,""2023-01-27"",""-2.0"",,"
"RSM00026063,""2023-01-28"",""-4.4"",,""-5.2"""
"RSM00026063,""2023-01-29"",""0.1"",,""-4.5"""
"RSM00026063,""2023-01-30"",""1.2"",""2.3"","
"RSM00026063,""2023-01-31"",""0.2"",,"
"RSM00026063,""2023-02-01"",""-0.2"",""0.7"",""-1.8"""
"RSM00026063,""2023-02-02"",""-1.1"",,"
"RSM00026063,""2023-02-03"",""-4.3"",,"
"RSM00026063,""2023-02-04"",""-3.0"",,"
"RSM00026063,""2023-02-05"",""-6.1"",,""-8.3"""
"RSM00026063,""2023-02-06"",""-1.7"",""-0.4"",""-6.1"""
"RSM00026063,""2023-02-07"",""-2.5"",,"
"RSM00026063,""2023-02-08"",""0.1"",,""-2.3"""
"RSM00026063,""2023-02-09"",""0.6"",,"
"RSM00026063,""2023-02-10"",""-0.6"",,"
"RSM00026063,""2023-02-11"",""-2.9"",""0.1"","
"RSM00026063,""2023-02-12"",""-3.3"",,""-11.1"""
"RSM00026063,""2023-02-13"",""2.1"",,""-1.7"""
"RSM00026063,""2023-02-14"",""0.5"",""3.5"",""-1.3"""
"RSM00026063,""2023-02-15"",""0.7"",""3.4"",""-1.7"""
"RSM00026063,""2023-02-16"",""-0.3"",,"
"RSM00026063,""2023-02-17"",""-3.7"",,"
"RSM00026063,""2023-02-18"",""-2.8"",""-1.6"","
"RSM00026063,""2023-02-19"",""-4.7"",""-3.3"","
"RSM00026063,""2023-02-20"",""-8.2"",""-5.2"","
"RSM00026063,""2023-02-21"",""-10.5"",""-6.7"","
"RSM00026063,""2023-02-22"",""-12.8"",""-6.2"","
"RSM00026063,""2023-02-23"",""-9.8"",,""-16.3"""
"RSM00026063,""2023-02-24"",""-3.9"",""-1.4"",""-7.7"""
"RSM00026063,""2023-02-25"",""-3.1"",""-1.6"","
"RSM00026063,""2023-02-26"",""-4.1"",""-3.6"","
"RSM00026063,""2023-02-27"",""-5.1"",,""-11.6"""
"RSM00026063,""2023-02-28"",""0.4"",,"
"RSM00026063,""2023-03-01"",""-2.7"",,"
"RSM00026063,""2023-03-02"",""-0.6"",""3.0"","
"RSM00026063,""2023-03-03"",""-0.7"",,"
"RSM00026063,""2023-03-04"",""-0.7"",""2.7"","
"RSM00026063,""2023-03-05"",""-1.9"",""1.3"","
"RSM00026063,""2023-03-06"",""-4.3"",""-1.0"",""-9.1"""
"RSM00026063,""2023-03-07"",""-7.3"",""-3.7"",""-12.1"""
"RSM00026063,""2023-03-08"",""-2.9"",,""-9.1"""
"RSM00026063,""2023-03-09"",""-7.6"",,"
"RSM00026063,""2023-03-10"",""-9.4"",""-1.4"","
"RSM00026063,""2023-03-11"",""-8.4"",""-2.4"","
"RSM00026063,""2023-03-12"",""-4.4"",,"
"RSM00026063,""2023-03-13"",""-2.6"",,""-7.8"""
"RSM00026063,""2023-03-14"",""3.9"",""7.9"",""-2.4"""
"RSM00026063,""2023-03-15"",""2.8"",""5.7"","
"RSM00026063,""2023-03-16"",""-0.6"",,"
"RSM00026063,""2023-03-17"",""-0.9"",""5.1"","
"RSM00026063,""2023-03-18"",""3.4"",""6.5"","
"RSM00026063,""2023-03-19"",""3.8"",""6.0"","
"RSM00026063,""2023-03-20"",""5.8"",""10.4"","
"RSM00026063,""2023-03-21"",""1.6"",""4.2"","
"RSM00026063,""2023-03-22"",""1.4"",,""-1.1"""
"RSM00026063,""2023-03-23"",""6.6"",,"
"RSM00026063,""2023-03-24"",""5.1"",,""1.5"""
"RSM00026063,""2023-03-25"",""4.3"",""7.1"","
"RSM00026063,""2023-03-26"",""2.3"",,"
"RSM00026063,""2023-03-27"",""-0.4"",""0.5"",""-1.3"""
"RSM00026063,""2023-03-28"",""-0.4"",""1.7"","
"RSM00026063,""2023-03-29"",""-1.9"",""-0.5"","
"RSM00026063,""2023-03-30"",""-3.7"",""0.9"","
"RSM00026063,""2023-03-31"",""-0.3"",""3.6"","
"RSM00026063,""2023-04-01"",""-0.1"",""1.7"","
"RSM00026063,""2023-04-02"",""0.0"",""2.9"",""-3.6"""
"RSM00026063,""2023-04-03"",""-1.0"",""0.4"","
"RSM00026063,""2023-04-04"",""-0.1"",""1.8"","
"RSM00026063,""2023-04-05"",""2.8"",""5.5"",""0.2"""
"RSM00026063,""2023-04-06"",""3.9"",""9.5"","
"RSM00026063,""2023-04-07"",""4.2"",""10.5"","
"RSM00026063,""2023-04-08"",""5.4"",""12.2"","
"RSM00026063,""2023-04-09"",""5.8"",""13.5"","
"RSM00026063,""2023-04-10"",""6.2"",,"
"RSM00026063,""2023-04-11"",""7.9"",,"
"RSM00026063,""2023-04-12"",""10.0"",""17.3"","
"RSM00026063,""2023-04-13"",""5.5"",,"
"RSM00026063,""2023-04-14"",""4.4"",,""0.5"""
"RSM00026063,""2023-04-15"",""4.7"",""8.6"","
"RSM00026063,""2023-04-16"",""6.7"",,"
"RSM00026063,""2023-04-17"",""6.8"",""13.1"","
"RSM00026063,""2023-04-18"",""7.3"",""13.1"","
"RSM00026063,""2023-04-19"",""7.8"",""13.3"","
"RSM00026063,""2023-04-20"",""7.5"",,"
"RSM00026063,""2023-04-21"",""9.4"",,""2.9"""
"RSM00026063,""2023-04-22"",""11.1"",,"
"RSM00026063,""2023-04-23"",""11.7"",,"
"RSM00026063,""2023-04-24"",""14.3"",,"
"RSM00026063,""2023-04-25"",""15.5"",,"
"RSM00026063,""2023-04-26"",""14.9"",""21.8"","
"RSM00026063,""2023-04-27"",""7.9"",,"
"RSM00026063,""2023-04-28"",""6.2"",""10.2"","
"RSM00026063,""2023-04-29"",""5.3"",,"
"RSM00026063,""2023-04-30"",""7.1"",,"
"RSM00026063,""2023-05-01"",""6.9"",,"
"RSM00026063,""2023-05-02"",""10.5"",,"
"RSM00026063,""2023-05-03"",""7.2"",,"
"RSM00026063,""2023-05-04"",""3.5"",,"
"RSM00026063,""2023-05-05"",""2.4"",""5.8"",""-0.4"""
"RSM00026063,""2023-05-06"",""3.7"",""7.8"","
"RSM00026063,""2023-05-07"",""6.2"",""11.1"","
"RSM00026063,""2023-05-08"",""8.1"",""13.5"","
"RSM00026063,""2023-05-09"",""9.9"",,"
"RSM00026063,""2023-05-10"",""10.8"",,"
"RSM00026063,""2023-05-11"",""12.5"",,"
"RSM00026063,""2023-05-12"",""14.1"",,"
"RSM00026063,""2023-05-13"",""13.8"",,"
"RSM00026063,""2023-05-14"",""15.4"",""22.2"","
"RSM00026063,""2023-05-15"",""16.4"",""23.9"","
"RSM00026063,""2023-05-16"",""16.5"",,"
"RSM00026063,""2023-05-17"",""16.6"",""20.4"","
"RSM00026063,""2023-05-18"",""10.6"",,"
"RSM00026063,""2023-05-19"",""10.8"",,"
"RSM00026063,""2023-05-20"",""12.7"",""18.4"","
"RSM00026063,""2023-05-21"",""15.6"",""22.0"","
"RSM00026063,""2023-05-22"",""13.8"",""21.6"","
"RSM00026063,""2023-05-23"",""15.8"",""23.5"","
"RSM00026063,""2023-05-24"",""17.6"",""24.7"","
"RSM00026063,""2023-05-25"",""17.8"",""24.1"","
"RSM00026063,""2023-05-26"",""13.1"",,"
"RSM00026063,""2023-05-27"",""10.8"",""14.1"","
"RSM00026063,""2023-05-28"",""13.2"",,"
"RSM00026063,""2023-05-29"",""12.4"",,"
"RSM00026063,""2023-05-30"",""11.1"",,"
"RSM00026063,""2023-05-31"",""12.4"",,"
"RSM00026063,""2023-06-01"",""10.5"",,"
"RSM00026063,""2023-06-02"",""7.1"",,"
"RSM00026063,""2023-06-03"",""9.4"",,"
"RSM00026063,""2023-06-04"",""10.7"",""15.4"","
"RSM00026063,""2023-06-05"",""13.6"",,"
"RSM00026063,""2023-06-06"",""14.3"",,"
"RSM00026063,""2023-06-07"",""13.2"",,"
"RSM00026063,""2023-06-08"",""14.1"",,"
"RSM00026063,""2023-06-09"",""11.7"",""15.7"","
"RSM00026063,""2023-06-10"",""10.7"",""16.0"","
"RSM00026063,""2023-06-11"",""13.6"",""19.4"","
"RSM00026063,""2023-06-12"",""16.3"",""22.3"","
"RSM00026063,""2023-06-13"",""18.8"",,"
"RSM00026063,""2023-06-14"",""19.4"",,"
"RSM00026063,""2023-06-15"",""19.1"",,"
"RSM00026063,""2023-06-16"",""21.7"",""28.7"","
"RSM00026063,""2023-06-17"",""22.2"",""27.3"","
"RSM00026063,""2023-06-18"",""18.1"",,"
"RSM00026063,""2023-06-19"",""18.6"",""25.4"","
"RSM00026063,""2023-06-20"",""20.0"",,"
"RSM00026063,""2023-06-21"",""20.9"",,"
"RSM00026063,""2023-06-22"",""22.0"",,"
"RSM00026063,""2023-06-23"",""20.0"",""24.1"","
"RSM00026063,""2023-06-24"",""19.5"",""25.2"","
"RSM00026063,""2023-06-25"",""17.8"",,"
"RSM00026063,""2023-06-26"",""19.0"",""24.8"","
"RSM00026063,""2023-06-27"",""21.1"",""27.9"","
"RSM00026063,""2023-06-28"",""21.1"",""27.3"","
"RSM00026063,""2023-06-29"",""21.5"",,"
"RSM00026063,""2023-06-30"",""20.9"",,"
"RSM00026063,""2023-07-01"",""19.3"",,"
"RSM00026063,""2023-07-02"",""18.4"",,"
"RSM00026063,""2023-07-03"",""16.3"",,"
"RSM00026063,""2023-07-04"",""15.9"",,"
"RSM00026063,""2023-07-05"",""17.4"",,"
"RSM00026063,""2023-07-06"",""20.3"",,"
"RSM00026063,""2023-07-07"",""17.8"",,"
"RSM00026063,""2023-07-08"",""16.6"",""21.5"","
"RSM00026063,""2023-07-09"",""14.3"",,"
"RSM00026063,""2023-07-10"",""14.1"",""17.6"","
"RSM00026063,""2023-07-11"",""15.0"",""20.3"","
"RSM00026063,""2023-07-12"",""17.1"",,"
"RSM00026063,""2023-07-13"",""17.9"",""23.3"","
"RSM00026063,""2023-07-14"",""18.8"",,"
"RSM00026063,""2023-07-15"",""19.2"",,"
"RSM00026063,""2023-07-16"",""20.9"",,"
"RSM00026063,""2023-07-17"",""19.8"",""24.1"","
"RSM00026063,""2023-07-18"",""17.2"",""20.6"","
"RSM00026063,""2023-07-19"",""17.2"",,"
"RSM00026063,""2023-07-20"",""16.8"",""21.0"","
"RSM00026063,""2023-07-21"",""17.7"",,"
"RSM00026063,""2023-07-22"",""17.7"",,"
"RSM00026063,""2023-07-23"",""17.2"",,"
"RSM00026063,""2023-07-24"",""16.4"",""20.2"","
"RSM00026063,""2023-07-25"",""18.7"",,"
"RSM00026063,""2023-07-26"",""18.2"",,"
"RSM00026063,""2023-07-27"",""18.4"",""22.1"","
"RSM00026063,""2023-07-28"",""15.5"",""19.1"","
"RSM00026063,""2023-07-29"",""17.4"",,"
"RSM00026063,""2023-07-30"",""19.4"",""24.4"",""14.9"""
"RSM00026063,""2023-07-31"",""19.4"",,"
"RSM00026063,""2023-08-01"",""20.7"",""26.6"","
"RSM00026063,""2023-08-02"",""21.7"",""27.0"","
"RSM00026063,""2023-08-03"",""20.9"",""24.2"","
"RSM00026063,""2023-08-04"",""20.1"",,"
"RSM00026063,""2023-08-05"",""20.8"",,"
"RSM00026063,""2023-08-06"",""23.6"",""28.2"","
"RSM00026063,""2023-08-07"",""26.9"",""32.8"","
"RSM00026063,""2023-08-08"",""21.6"",,"
"RSM00026063,""2023-08-09"",""19.4"",""24.8"","
"RSM00026063,""2023-08-10"",""19.3"",""25.1"","
"RSM00026063,""2023-08-11"",""20.2"",""26.4"","
"RSM00026063,""2023-08-12"",""19.5"",""24.1"","
"RSM00026063,""2023-08-13"",""20.4"",""25.9"",""17.7"""
"RSM00026063,""2023-08-14"",""19.4"",""22.1"","
"RSM00026063,""2023-08-15"",""19.7"",""24.6"","
"RSM00026063,""2023-08-16"",""21.6"",,"
"RSM00026063,""2023-08-17"",""20.6"",""24.2"","
"RSM00026063,""2023-08-18"",""18.2"",,"
"RSM00026063,""2023-08-19"",""16.7"",""18.1"","
"RSM00026063,""2023-08-20"",""17.1"",""21.3"","
"RSM00026063,""2023-08-21"",""17.4"",""24.1"","
"RSM00026063,""2023-08-22"",""16.8"",,"
"RSM00026063,""2023-08-23"",""15.7"",""20.4"","
"RSM00026063,""2023-08-24"",""15.0"",""20.5"","
"RSM00026063,""2023-08-25"",""16.8"",""23.5"","
"RSM00026063,""2023-08-26"",""17.0"",""22.1"","
"RSM00026063,""2023-08-27"",""16.7"",""22.3"","
"RSM00026063,""2023-08-28"",""16.9"",""21.1"","
"RSM00026063,""2023-08-29"",""16.7"",,"
"RSM00026063,""2023-08-30"",""17.6"",""21.0"","
"RSM00026063,""2023-08-31"",""21.6"",,"
"RSM00026063,""2023-09-01"",""19.5"",,"
"RSM00026063,""2023-09-02"",""17.1"",,"
"RSM00026063,""2023-09-03"",""15.0"",,"
"RSM00026063,""2023-09-04"",""15.9"",,"
"RSM00026063,""2023-09-05"",""17.2"",,"
"RSM00026063,""2023-09-06"",""14.4"",""17.5"","
"RSM00026063,""2023-09-07"",""13.0"",""18.3"","
"RSM00026063,""2023-09-08"",""15.6"",""20.4"","
"RSM00026063,""2023-09-09"",""14.9"",,"
"RSM00026063,""2023-09-10"",""17.2"",""23.6"","
"RSM00026063,""2023-09-11"",""18.0"",""24.3"","
"RSM00026063,""2023-09-12"",""18.9"",""25.1"","
"RSM00026063,""2023-09-13"",""19.8"",,"
"RSM00026063,""2023-09-14"",""14.6"",,"
"RSM00026063,""2023-09-15"",""11.2"",""17.3"","
"RSM00026063,""2023-09-16"",""13.1"",,"
"RSM00026063,""2023-09-17"",""13.3"",,"
"RSM00026063,""2023-09-18"",""11.2"",""14.7"","
"RSM00026063,""2023-09-19"",""12.7"",,"
"RSM00026063,""2023-09-20"",""16.8"",,"
"RSM00026063,""2023-09-21"",""17.6"",,"
"RSM00026063,""2023-09-22"",""18.3"",,"
"RSM00026063,""2023-09-23"",""19.9"",""25.3"","
"RSM00026063,""2023-09-24"",""15.4"",,"
"RSM00026063,""2023-09-25"",""13.6"",,"
"RSM00026063,""2023-09-26"",""13.3"",""17.4"","
"RSM00026063,""2023-09-27"",""15.1"",,"
"RSM00026063,""2023-09-28"",""14.5"",,"
"RSM00026063,""2023-09-29"",""17.1"",""23.3"","
"RSM00026063,""2023-09-30"",""15.7"",,"
"RSM00026063,""2023-10-01"",""12.9"",,"
"RSM00026063,""2023-10-02"",""10.8"",""14.7"","
"RSM00026063,""2023-10-03"",""12.0"",,"
"RSM00026063,""2023-10-04"",""11.8"",,"
"RSM00026063,""2023-10-05"",""10.2"",,"
"RSM00026063,""2023-10-06"",""6.2"",""9.6"",""3.0"""
"RSM00026063,""2023-10-07"",""5.7"",,"
"RSM00026063,""2023-10-08"",""3.4"",,""0.7"""
"RSM00026063,""2023-10-09"",""3.2"",,"
"RSM00026063,""2023-10-10"",""2.9"",""7.0"","
"RSM00026063,""2023-10-11"",""7.8"",,"
"RSM00026063,""2023-10-12"",""9.0"",,"
"RSM00026063,""2023-10-13"",""8.7"",,"
"RSM00026063,""2023-10-14"",""11.1"",""16.2"",""7.0"""
"RSM00026063,""2023-10-15"",""8.0"",,"
"RSM00026063,""2023-10-16"",""5.2"",,"
"RSM00026063,""2023-10-17"",""4.6"",,"
"RSM00026063,""2023-10-18"",""3.3"",""5.8"","
"RSM00026063,""2023-10-19"",""2.6"",""4.7"",""0.7"""
"RSM00026063,""2023-10-20"",""2.2"",""4.7"",""0.9"""
"RSM00026063,""2023-10-21"",""-0.1"",""5.2"","
"RSM00026063,""2023-10-22"",""0.9"",""3.3"","
"RSM00026063,""2023-10-23"",""3.2"",""5.3"","
"RSM00026063,""2023-10-24"",""2.1"",""5.1"",""0.7"""
"RSM00026063,""2023-10-25"",""-0.2"",,"
"RSM00026063,""2023-10-26"",""-2.0"",,"
"RSM00026063,""2023-10-27"",""-1.3"",""1.4"","
"RSM00026063,""2023-10-28"",""-0.1"",,"
"RSM00026063,""2023-10-29"",""0.2"",,""-0.7"""
"RSM00026063,""2023-10-30"",""0.4"",""1.5"","
"RSM00026063,""2023-10-31"",""-0.1"",,"
"RSM00026063,""2023-11-01"",""8.4"",,""0.4"""
"RSM00026063,""2023-11-02"",""2.7"",,"
"RSM00026063,""2023-11-03"",""2.1"",,""-2.3"""
"RSM00026063,""2023-11-04"",""4.9"",,""3.2"""
"RSM00026063,""2023-11-05"",""6.6"",,""4.7"""
"RSM00026063,""2023-11-06"",""6.2"",,"
"RSM00026063,""2023-11-07"",""6.8"",,""4.3"""
"RSM00026063,""2023-11-08"",""6.6"",,"
"RSM00026063,""2023-11-09"",""6.3"",""7.4"","
"RSM00026063,""2023-11-10"",""6.6"",,"
"RSM00026063,""2023-11-11"",""5.9"",""7.4"","
"RSM00026063,""2023-11-12"",""5.5"",,"
"RSM00026063,""2023-11-13"",""1.8"",,"
"RSM00026063,""2023-11-14"",""0.4"",,""-0.5"""
"RSM00026063,""2023-11-15"",""0.8"",,"
"RSM00026063,""2023-11-16"",""-2.2"",,"
"RSM00026063,""2023-11-17"",""-4.5"",""-1.1"","
"RSM00026063,""2023-11-18"",""-6.1"",,"
"RSM00026063,""2023-11-19"",""-5.5"",""-2.3"","
"RSM00026063,""2023-11-20"",""-4.9"",""-3.8"","
"RSM00026063,""2023-11-21"",""-4.5"",,"
"RSM00026063,""2023-11-22"",""-6.4"",""-3.8"","
"RSM00026063,""2023-11-23"",""-3.7"",""-1.4"","
"RSM00026063,""2023-11-24"",""-4.7"",""-3.2"","
"RSM00026063,""2023-11-25"",""-10.5"",""-7.0"","
"RSM00026063,""2023-11-26"",""-9.1"",,"
"RSM00026063,""2023-11-27"",""-4.1"",""-2.9"",""-7.2"""
"RSM00026063,""2023-11-28"",""-2.1"",,""-5.0"""
"RSM00026063,""2023-11-29"",""-5.1"",""-4.0"","
"RSM00026063,""2023-11-30"",""-4.0"",""-2.1"",""-5.6"""
"RSM00026063,""2023-12-01"",""-4.9"",""-3.4"","
"RSM00026063,""2023-12-02"",""-6.6"",""-5.0"",""-8.0"""
"RSM00026063,""2023-12-03"",""-7.5"",""-5.0"","
"RSM00026063,""2023-12-04"",""-6.7"",""-5.5"","
"RSM00026063,""2023-12-05"",""-9.8"",""-6.4"","
"RSM00026063,""2023-12-06"",""-15.9"",""-10.5"","
"RSM00026063,""2023-12-07"",""-17.2"",,"
"RSM00026063,""2023-12-08"",""-15.2"",,"
"RSM00026063,""2023-12-09"",""-12.2"",,"
"RSM00026063,""2023-12-10"",""-11.4"",,"
"RSM00026063,""2023-12-11"",""-8.5"",,""-11.0"""
"RSM00026063,""2023-12-12"",""-4.4"",""-3.8"",""-7.8"""
"RSM00026063,""2023-12-13"",""-2.1"",""-0.8"",""-4.0"""
"RSM00026063,""2023-12-14"",""-4.4"",,"
"RSM00026063,""2023-12-15"",""-5.5"",""-3.7"","
"RSM00026063,""2023-12-16"",""-2.6"",,""-6.6"""
"RSM00026063,""2023-12-17"",""1.6"",,""-2.2"""
"RSM00026063,""2023-12-18"",""1.7"",""2.4"",""-7.0"""
"RSM00026063,""2023-12-19"",""2.7"",,""1.0"""
"RSM00026063,""2023-12-20"",""0.9"",""2.1"","
"RSM00026063,""2023-12-21"",""0.2"",""1.3"","
"RSM00026063,""2023-12-22"",""0.2"",""1.7"","
"RSM00026063,""2023-12-23"",""0.2"",,"
"RSM00026063,""2023-12-24"",""-0.2"",,"
"RSM00026063,""2023-12-25"",""-1.9"",,"
"RSM00026063,""2023-12-26"",""-2.9"",,"
"RSM00026063,""2023-12-27"",""-4.5"",""-2.0"","
"RSM00026063,""2023-12-28"",""-3.3"",""-1.0"",""-8.8"""
"RSM00026063,""2023-12-29"",""-2.9"",,"
"RSM00026063,""2023-12-30"",""-4.3"",,"
"RSM00026063,""2023-12-31"",""-10.7"",,"
